"filename", "language", "CSV", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\colli\magic-trivia\src\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\colli\magic-trivia\src\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\colli\magic-trivia\src\App.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 10, 13, 94
"c:\Users\colli\magic-trivia\src\SampleBank.csv", "CSV", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\colli\magic-trivia\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\colli\magic-trivia\src\components\admin\AdminControls.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 4, 9, 78
"c:\Users\colli\magic-trivia\src\components\admin\BroadcastCard.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 1, 4, 53
"c:\Users\colli\magic-trivia\src\components\admin\CsvUploader.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 3, 4, 48
"c:\Users\colli\magic-trivia\src\components\admin\GameStatus.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 5, 9, 66
"c:\Users\colli\magic-trivia\src\components\admin\LivePlayerList.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 2, 5, 60
"c:\Users\colli\magic-trivia\src\components\admin\PlayerRow.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 3, 4, 45
"c:\Users\colli\magic-trivia\src\components\admin\ShareGameCard.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 2, 4, 44
"c:\Users\colli\magic-trivia\src\components\common\AdminMessageOverlay.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 1, 4, 34
"c:\Users\colli\magic-trivia\src\components\common\ConfirmModal.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 9, 6, 48
"c:\Users\colli\magic-trivia\src\components\common\ErrorScreen.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 1, 2, 16
"c:\Users\colli\magic-trivia\src\components\common\FinalLeaderboard.jsx", "JavaScript JSX", 0, 0, 192, 0, 0, 0, 14, 21, 227
"c:\Users\colli\magic-trivia\src\components\common\Leaderboard.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 2, 9, 96
"c:\Users\colli\magic-trivia\src\components\common\LoadingScreen.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 1, 2, 15
"c:\Users\colli\magic-trivia\src\components\common\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\magic-trivia\src\components\common\PasswordResetModal.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 8, 8, 89
"c:\Users\colli\magic-trivia\src\components\common\Timer.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 7, 20, 116
"c:\Users\colli\magic-trivia\src\components\common\VolumeControl.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 6, 6, 69
"c:\Users\colli\magic-trivia\src\components\common\WelcomeModal.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\colli\magic-trivia\src\components\layout\AdminLayout.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 5, 2, 20
"c:\Users\colli\magic-trivia\src\components\layout\AdminSidebar.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 4, 7, 64
"c:\Users\colli\magic-trivia\src\components\layout\FullScreenCenter.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 2, 1, 14
"c:\Users\colli\magic-trivia\src\components\layout\KioskLayout.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 4, 1, 14
"c:\Users\colli\magic-trivia\src\components\layout\MainLayout.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 4, 1, 18
"c:\Users\colli\magic-trivia\src\components\layout\Navbar.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 1, 8, 84
"c:\Users\colli\magic-trivia\src\components\layout\PlayerNavbar.jsx", "JavaScript JSX", 0, 0, 116, 0, 0, 0, 3, 18, 137
"c:\Users\colli\magic-trivia\src\components\layout\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 4, 6, 28
"c:\Users\colli\magic-trivia\src\components\player\PlayerAnswerView.jsx", "JavaScript JSX", 0, 0, 53, 0, 0, 0, 11, 12, 76
"c:\Users\colli\magic-trivia\src\components\player\PlayerJoinForm.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 5, 6, 59
"c:\Users\colli\magic-trivia\src\components\player\PlayerQuestionView.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 8, 10, 104
"c:\Users\colli\magic-trivia\src\components\player\PlayerWaitingView.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 4, 3, 24
"c:\Users\colli\magic-trivia\src\components\stream\StreamAnswerView.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 5, 7, 76
"c:\Users\colli\magic-trivia\src\components\stream\StreamHeader.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 3, 5, 40
"c:\Users\colli\magic-trivia\src\components\stream\StreamQuestionView.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 6, 6, 68
"c:\Users\colli\magic-trivia\src\components\stream\StreamWaitingView.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 4, 3, 23
"c:\Users\colli\magic-trivia\src\components\ui\Button.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 9, 6, 63
"c:\Users\colli\magic-trivia\src\components\ui\Card.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 3, 4, 47
"c:\Users\colli\magic-trivia\src\components\ui\Input.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 2, 1, 24
"c:\Users\colli\magic-trivia\src\components\ui\Label.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 2, 1, 14
"c:\Users\colli\magic-trivia\src\components\ui\Modal.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 6, 3, 50
"c:\Users\colli\magic-trivia\src\components\ui\Select.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 2, 1, 26
"c:\Users\colli\magic-trivia\src\contexts\AudioContext.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 7, 22, 155
"c:\Users\colli\magic-trivia\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 3, 10, 59
"c:\Users\colli\magic-trivia\src\firebase.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
